===== Simulation Results =====
Best Fitness (-total_response_time): -1202.9706
Best Fitness (Jain Fairness Index_2): 0.4642
Average Response Time of Best Solution: 6.01 ms

Response Time Statistics by Priority:
  Priority 1: Mean=5.81 ms (Limit: 10 ms) [OK]
  Priority 2: Mean=6.70 ms (Limit: 8 ms) [OK]
  Priority 3: Mean=5.24 ms (Limit: 6 ms) [OK]

User-to-Server Assignment:
  User 71 -> Server 19 (Edge)
  User 72 -> Server 2 (Edge)
  User 73 -> Server 16 (Edge)
  User 74 -> Server 7 (Edge)
  User 75 -> Server 12 (Edge)
  User 76 -> Server 8 (Edge)
  User 77 -> Server 19 (Edge)
  User 78 -> Server 11 (Edge)
  User 79 -> Server 16 (Edge)
  User 80 -> Server 19 (Edge)
  User 81 -> Server 2 (Edge)
  User 82 -> Server 17 (Edge)
  User 83 -> Server 5 (Edge)
  User 84 -> Server 15 (Edge)
  User 85 -> Server 5 (Edge)
  User 86 -> Server 4 (Edge)
  User 87 -> Server 7 (Edge)
  User 88 -> Server 6 (Edge)
  User 89 -> Server 11 (Edge)
  User 90 -> Server 4 (Edge)
  User 91 -> Server 18 (Edge)
  User 92 -> Server 2 (Edge)
  User 93 -> Server 11 (Edge)
  User 94 -> Server 9 (Edge)
  User 95 -> Server 7 (Edge)
  User 96 -> Server 14 (Edge)
  User 97 -> Server 9 (Edge)
  User 98 -> Server 14 (Edge)
  User 99 -> Server 20 (Cloud)
  User 100 -> Server 13 (Edge)
  User 101 -> Server 3 (Edge)
  User 102 -> Server 22 (Cloud)
  User 103 -> Server 16 (Edge)
  User 104 -> Server 1 (Edge)
  User 105 -> Server 10 (Edge)
  User 106 -> Server 17 (Edge)
  User 107 -> Server 19 (Edge)
  User 108 -> Server 4 (Edge)
  User 109 -> Server 22 (Cloud)
  User 110 -> Server 1 (Edge)
  User 111 -> Server 20 (Cloud)
  User 112 -> Server 10 (Edge)
  User 113 -> Server 21 (Cloud)
  User 114 -> Server 20 (Cloud)
  User 115 -> Server 10 (Edge)
  User 116 -> Server 13 (Edge)
  User 117 -> Server 14 (Edge)
  User 118 -> Server 13 (Edge)
  User 119 -> Server 10 (Edge)
  User 120 -> Server 11 (Edge)
  User 121 -> Server 5 (Edge)
  User 122 -> Server 5 (Edge)
  User 123 -> Server 8 (Edge)
  User 124 -> Server 21 (Cloud)
  User 125 -> Server 16 (Edge)
  User 126 -> Server 8 (Edge)
  User 127 -> Server 0 (Edge)
  User 128 -> Server 11 (Edge)
  User 129 -> Server 19 (Edge)
  User 130 -> Server 18 (Edge)
  User 131 -> Server 10 (Edge)
  User 132 -> Server 6 (Edge)
  User 133 -> Server 18 (Edge)
  User 134 -> Server 15 (Edge)
  User 135 -> Server 16 (Edge)
  User 136 -> Server 2 (Edge)
  User 137 -> Server 10 (Edge)
  User 138 -> Server 14 (Edge)
  User 139 -> Server 22 (Cloud)
  User 140 -> Server 16 (Edge)
  User 141 -> Server 10 (Edge)
  User 142 -> Server 18 (Edge)
  User 143 -> Server 15 (Edge)
  User 144 -> Server 12 (Edge)
  User 145 -> Server 14 (Edge)
  User 146 -> Server 10 (Edge)
  User 147 -> Server 4 (Edge)
  User 148 -> Server 0 (Edge)
  User 149 -> Server 21 (Cloud)
  User 150 -> Server 11 (Edge)
  User 151 -> Server 4 (Edge)
  User 152 -> Server 15 (Edge)
  User 153 -> Server 2 (Edge)
  User 154 -> Server 21 (Cloud)
  User 155 -> Server 18 (Edge)
  User 156 -> Server 13 (Edge)
  User 157 -> Server 13 (Edge)
  User 158 -> Server 0 (Edge)
  User 159 -> Server 7 (Edge)
  User 160 -> Server 18 (Edge)
  User 161 -> Server 13 (Edge)
  User 162 -> Server 3 (Edge)
  User 163 -> Server 9 (Edge)
  User 164 -> Server 5 (Edge)
  User 165 -> Server 21 (Cloud)
  User 166 -> Server 2 (Edge)
  User 167 -> Server 20 (Cloud)
  User 168 -> Server 20 (Cloud)
  User 169 -> Server 17 (Edge)
  User 170 -> Server 17 (Edge)
  User 171 -> Server 10 (Edge)
  User 172 -> Server 10 (Edge)
  User 173 -> Server 2 (Edge)
  User 174 -> Server 22 (Cloud)
  User 175 -> Server 0 (Edge)
  User 176 -> Server 6 (Edge)
  User 177 -> Server 10 (Edge)
  User 178 -> Server 8 (Edge)
  User 179 -> Server 18 (Edge)
  User 180 -> Server 12 (Edge)
  User 181 -> Server 6 (Edge)
  User 182 -> Server 1 (Edge)
  User 183 -> Server 3 (Edge)
  User 184 -> Server 16 (Edge)
  User 185 -> Server 2 (Edge)
  User 186 -> Server 3 (Edge)
  User 187 -> Server 12 (Edge)
  User 188 -> Server 3 (Edge)
  User 189 -> Server 18 (Edge)
  User 190 -> Server 9 (Edge)
  User 191 -> Server 11 (Edge)
  User 192 -> Server 22 (Cloud)
  User 193 -> Server 14 (Edge)
  User 194 -> Server 3 (Edge)
  User 195 -> Server 9 (Edge)
  User 196 -> Server 4 (Edge)
  User 197 -> Server 3 (Edge)
  User 198 -> Server 20 (Cloud)
  User 199 -> Server 9 (Edge)
